kappa_0.16,,kappa_0.23_main,,kappa_0.30_main,,kappa_0.37_main,,kappa_0.23_bullet,,kappa_0.30_bullet,,kappa_0.16_nw,,kappa_0.16_uc,,kappa_0.16_ur,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
-4.867179214015597,-0.05814045396756114,,,,,,,,,,,,,,,,
-4.766212326731167,-0.058703377866450614,,,,,,,,,,,,,,,,
-4.642219914198979,-0.05915304093604391,,,,,,,,,,,,,,,,
-4.544207955679013,-0.059377309096242,,,,,,,,,,,,,,,,
-4.4692542639997646,-0.0595643043929988,,,,,,,,,,,,,,,,
-4.397108163916672,-0.060090045568382766,,,,,,,,,,,,,,,,
-4.293481022204398,-0.05963682197132651,,,,,,,,,,,,,,,,
-4.172451723834914,-0.05971019587904405,,,,,,,,,,,,,,,,
-4.040020165717784,-0.05921888815912458,,,,,,,,,,,,,,,,
-3.913392054952471,-0.05853950346321906,,,,,,,,,,,,,,,,
-3.832880477868591,-0.05778557304043098,,,,,,,,,,,,,,,,
-3.74090934324939,-0.05673039495229643,,,,,,,,,,,,,,,,
-3.6890957723932525,-0.056503783153768306,,,,,,,,,,,,,,,,
-3.645655863936142,-0.05751920953022787,,,,,,,,,,,,,,,,
-3.6023223656561436,-0.058045401405290686,,,,,,,,,,,,,,,,
-3.5303317881396,-0.05785610754017173,,,,,,,,,,,,,,,,
-3.5593244687039656,-0.05702862292979457,,,,,,,,,,,,,,,,
-3.61135085991433,-0.05627676572552921,,,,,,,,,,,,,,,,
-3.6027807479575564,-0.055937929706966275,,,,,,,,,,,,,,,,
-3.5625495156103355,-0.05544806422601914,,,,,,,,,,,,,,,,
-3.4847391199454956,-0.055522114183254964,,,,,,,,,,,,,,,,
-3.435888663252064,-0.05491921322285108,,,,,,,,,,,,,,,,
-3.4042684698528136,-0.05458001664454506,,,,,,,,,,,,,,,,
-3.4419294871528274,-0.05363976697451846,,,,,,,,,,,,,,,,
-3.4996856571308523,-0.05303853360292633,,,,,,,,,,,,,,,,
-3.5200754841454867,-0.052022746666723685,,,,,,,,,,,,,,,,
-3.4107185636655526,-0.051418899236994206,,,,,,,,,,,,,,,,
-3.3041201223923355,-0.05137959822499809,,,,,,,,,,,,,,,,
-3.2434581360392816,-0.05209368679617541,,,,,,,,,,,,,,,,
-3.2777222130698966,-0.05352429771679589,,,,,,,,,,,,,,,,
-3.257455167028855,-0.05397558330523307,,,,,,,,,,,,,,,,
-3.1364340540576103,-0.05401132378976624,,,,,,,,,,,,,,,,
-3.061365766803008,-0.05472518701110415,,,,,,,,,,,,,,,,
-3.000711965848195,-0.05540164215909711,,,,,,,,,,,,,,,,
-2.9257582741689463,-0.05558863745585391,,,,,,,,,,,,,,,,
-2.8306112050328123,-0.05588821753238861,,,,,,,,,,,,,,,,
-2.7670597731012094,-0.056639894456782414,,,,,,,,,,,,,,,,
-2.6748594473313014,-0.05663845221781008,,,,,,,,,,,,,,,,
-2.5710685976542376,-0.05693789708444112,,,,,,,,,,,,,,,,
-2.4701671935557235,-0.05719975359785568,,,,,,,,,,,,,,,,
-2.3089475898302165,-0.05659509490870426,,,,,,,,,,,,,,,,
-2.2023000361675624,-0.05678159443581433,,,,,,,,,,,,,,,,
-2.1387486042359596,-0.05753327136020814,,,,,,,,,,,,,,,,
-2.0522862426319515,-0.057644819530724666,,,,,,,,,,,,,,,,
-1.9659139204085785,-0.05734240004621319,,,,,,,,,,,,,,,,
-1.8562868817867406,-0.05798045558156773,,,,,,,,,,,,,,,,
-1.7811039989567858,-0.05922118672748674,,,,,,,,,,,,,,,,
-1.7635790613259819,-0.060312285580026,,,,,,,,,,,,,,,,
-1.659812767843637,-0.060498830177103946,,,,,,,,,,,,,,,,
-1.5415910610703074,-0.06091094996344865,,,,,,,,,,,,,,,,
-1.4550141038909463,-0.06154936605854629,,,,,,,,,,,,,,,,
-1.336849694905293,-0.06169805188260044,,,,,,,,,,,,,,,,
-1.218627988131963,-0.06211017166894514,,,,,,,,,,,,,,,,
-1.1294398889141963,-0.06150663972899086,,,,,,,,,,,,,,,,
-1.063367354324823,-0.06060240096330475,,,,,,,,,,,,,,,,
