MatchRA,MatchDec,MatchID,NumImages,NumFilters,NumVisits,A_F606W,A_F775W,A_F814W,A_F850LP,W3_F110W,W3_F160W,CI
104.5640834938684,-55.91677079786222,33578824,2,2,1,25.592300415039062,,25.164899826049805,,,,1.4350925882657368
104.6190214750578,-55.93012423618976,33582253,2,2,1,,,,,26.18149948120117,26.16399955749512,1.6676212964789952
104.67503131184516,-55.96540810732271,33594454,1,1,1,,,,,,,1.4438709905070644
104.54334256336604,-55.953834244407865,33728834,2,2,1,26.293100357055664,,26.07379913330078,,,,1.9742592617317485
104.59919382184032,-55.94685279345085,33743585,5,5,3,25.33930015563965,24.680500030517575,24.545799255371094,,23.8705997467041,23.66990089416504,2.272511114655612
104.53300361100472,-55.95517731745805,33755686,2,2,1,25.311500549316406,,24.40180015563965,,,,1.7798147819660328
104.60911897812768,-55.93018841147093,33783272,1,1,1,,22.706899642944336,,,,,1.9675925925925928
104.67199275316452,-55.946931255037086,33795386,1,1,1,,,,,,,2.186033479328262
104.65064945352977,-55.95418886219024,55081337,2,2,1,,,,,25.99209976196289,25.25819969177246,3.3496375753681287
104.556528097228,-55.9518835512481,55147513,2,2,1,24.309799194335938,,23.357799530029297,,,,2.118240793546041
104.61061327814524,-55.94909635083021,55208629,1,1,1,,,,,,23.563400268554688,3.30462669258687
104.6604510188298,-55.94560718540589,55221520,1,1,1,,,,,,25.14550018310547,2.8998506602956287
104.5939544024349,-55.923832486834655,55228851,2,2,1,26.3164005279541,,25.96529960632324,,,,1.881481541527642
104.67537181345097,-55.962688727581785,55236942,2,2,1,,,,,18.729999542236328,18.53179931640625,3.3835193019177607
104.52720261649056,-55.96385855844755,55274898,2,2,1,25.225400924682617,,24.992700576782227,,,,1.6357407525733665
104.62832878141604,-55.9647675379697,55300700,7,5,5,24.01930046081543,23.27039909362793,,23.13249969482422,23.06694984436035,22.94950008392334,2.267979069508293
104.6570702109188,-55.95874889388744,55319677,2,2,1,,,,,24.624500274658203,24.19230079650879,3.154962686206232
104.65923271607376,-55.962138726695045,55348774,2,2,1,,,,,22.892799377441406,22.497499465942383,3.7772135185534506
104.65960593903044,-55.9291946962936,55389087,1,1,1,,,,,,20.86750030517578,3.2734330020733733
104.58704679557432,-55.94077733563634,55411743,2,2,1,25.929500579833984,,25.724899291992188,,,,1.521435159224051
104.63550901531016,-55.957033685274055,55449629,1,1,1,,,,,26.41670036315918,,1.96696434702192
104.6712535941372,-55.96665033846349,55451154,4,2,2,,,,,22.440199851989743,22.22949981689453,3.472341961666211
104.613369349843,-55.92986305325056,55462332,1,1,1,,25.92510032653809,,,,,1.6624074291299888
